activity_year,loan_amount,income,interest_rate,debt_to_income_ratio,loan_term,property_value,loan_to_value_ratio,action_taken,is_conventional_type,is_fha_type,is_va_type,is_home_purchase_purpose,is_home_improvement_purpose,is_refinancing_purpose,unemployment_measure,federal_funds_measure,money_stock
2021,16.5,84.0,2.951474178403756,25.0,360.0,30.5,55.0,0,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,37.5,154.0,2.75,25.0,180.0,51.5,73.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,24.5,83.0,2.625,42.0,360.0,49.5,49.787,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,25.5,62.0,3.0703554564533055,33.0,360.0,35.5,74.0,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,34.5,75.0,2.829112582781457,44.0,360.0,34.5,100.0,0,0,0,1,1,0,0,5.358333333333334,0.25,7.64
2021,10.5,115.0,2.95,38.0,120.0,13.5,80.769,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,38.5,117.0,2.75,43.0,360.0,68.5,56.313,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,40.5,75.0,3.1430324107793153,44.0,360.0,42.5,95.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,16.5,149.0,3.0703554564533055,20.0,180.0,65.5,24.61,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,37.5,78.0,3.0703554564533055,20.0,360.0,39.5,95.87,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,9.5,49.0,2.375,33.0,120.0,14.5,67.857,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,53.5,171.0,2.829112582781457,43.0,360.0,45.5,116.67,0,0,0,1,1,0,0,5.358333333333334,0.25,7.64
2021,46.5,77.0,3.125,43.0,360.0,60.5,77.83,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,19.5,79.0,2.625,33.0,180.0,27.5,69.6,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,47.5,0.0,4.25,20.0,360.0,72.5,65.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,20.5,292.0,2.125,20.0,180.0,48.5,42.124,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,26.5,55.0,3.25,47.0,360.0,36.5,72.222,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,58.5,143.0,2.99,33.0,360.0,245.5,24.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,32.5,62.0,2.875,44.0,240.0,51.5,64.51,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,29.5,300.0,2.851883192153366,25.0,360.0,36.5,90.0,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,39.5,262.0,2.625,20.0,360.0,53.5,74.434,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,31.5,82.0,2.5,46.0,360.0,41.5,76.409,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,34.5,74.0,3.375,45.0,360.0,42.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,1.5,74.0,5.0,33.0,360.0,32.5,105.407,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,30.5,227.0,2.625,25.0,30.0,38.5,84.994,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,54.5,147.0,2.625,41.0,360.0,62.5,88.42,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,5.5,79.0,3.0,43.0,120.0,31.5,17.26,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,12.5,70.0,3.64,25.0,360.0,33.5,37.879,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,10.5,64.0,2.5,45.0,120.0,39.5,25.42,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,32.5,104.0,2.875,47.0,360.0,50.5,65.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,22.5,85.0,3.75,55.0,360.0,41.5,55.033,1,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,3.5,28.0,3.955092409240924,43.0,360.0,17.5,70.86,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,43.5,100.0,2.875,48.0,360.0,58.5,74.27,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,9.5,35.0,3.5,55.0,360.0,11.5,80.0,1,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,32.5,166.0,3.375,20.0,360.0,45.5,71.84,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,42.5,213.0,2.851883192153366,60.0,180.0,99.5,42.188,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,16.5,101.0,2.125,25.0,180.0,33.5,49.254,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,51.5,175.0,3.0703554564533055,25.0,360.0,75.5,68.053,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,22.5,40.0,3.25,44.0,360.0,27.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,10.5,134.0,2.5,25.0,180.0,46.5,22.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,7.5,133.0,3.0703554564533055,20.0,180.0,11.5,65.274,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,10.5,36.0,3.0703554564533055,36.0,240.0,20.5,48.78,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,46.5,193.0,3.0703554564533055,60.0,360.0,57.5,80.0,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,31.5,118.0,2.75,25.0,360.0,39.5,80.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,5.5,46.0,4.25,20.0,360.0,7.5,80.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,33.5,269.0,3.25,20.0,360.0,50.5,67.2,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,0.5,54.0,3.1430324107793153,55.0,36.0,6.5,99.445,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,38.5,214.0,3.25,33.0,360.0,48.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,18.5,75.0,2.75,25.0,360.0,21.5,86.19,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,18.5,54.0,3.0703554564533055,55.0,180.0,30.5,59.871,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,40.5,474.0,4.75,46.0,360.0,65.5,62.615,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,25.5,169.0,3.0,20.0,360.0,37.5,68.267,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,11.5,40.0,3.5,33.0,360.0,11.5,99.657,1,0,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,34.5,180.0,2.851883192153366,42.0,180.0,70.5,60.857,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,85.5,323.0,3.0,25.0,360.0,162.5,52.462,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,28.5,61.0,3.0703554564533055,60.0,360.0,39.5,71.795,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,11.5,25.0,3.25,39.0,360.0,25.5,47.42,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,1.5,32.0,3.955092409240924,55.0,240.0,21.5,66.849,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,49.5,244.0,2.875,25.0,360.0,76.5,65.264,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,14.5,53.0,2.851883192153366,55.0,180.0,35.5,41.0,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,16.5,64.0,3.375,25.0,360.0,32.5,51.08,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,0.5,50.0,3.1430324107793153,45.0,360.0,25.5,100.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,40.5,120.0,3.125,45.0,360.0,43.5,95.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,2.5,121.0,5.2,33.0,180.0,27.5,76.195,1,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,18.5,50.0,2.75,37.0,360.0,18.5,96.5,1,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,28.5,70.0,3.955092409240924,55.0,360.0,38.5,74.68,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,17.5,320.0,4.001042690815007,33.0,360.0,71.5,87.65,0,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,21.5,54.0,3.25,41.0,360.0,29.5,73.36,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,61.5,404.0,2.851883192153366,33.0,360.0,205.5,29.756,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,20.5,98.0,3.5,47.0,360.0,24.5,82.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,1.5,92.0,3.1430324107793153,38.0,360.0,40.5,100.428,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,43.5,176.0,2.5,33.0,240.0,62.5,70.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,41.5,211.0,3.75,25.0,360.0,59.5,70.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,25.5,288.0,2.851883192153366,46.0,300.0,45.5,55.778,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,45.5,142.0,2.999,46.0,360.0,83.5,54.48,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,19.5,53.0,3.125,49.0,360.0,32.5,59.692,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,8.5,264.0,3.1430324107793153,20.0,360.0,28.5,56.33,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,50.5,123.0,3.25,33.0,360.0,116.5,43.103,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,45.5,107.0,2.875,33.0,360.0,48.5,95.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,27.5,160.0,3.1430324107793153,20.0,360.0,30.5,90.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,21.5,58.0,3.1256261762189905,55.0,360.0,22.5,96.5,0,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,27.5,89.0,3.0,33.0,360.0,39.5,70.064,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,35.5,48.0,2.851883192153366,60.0,360.0,60.5,58.333,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,35.5,108.0,3.0,33.0,360.0,36.5,97.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,15.5,70.0,3.955092409240924,47.0,360.0,22.5,71.36,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,26.5,53.0,3.1430324107793153,47.0,360.0,27.5,95.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,6.5,44.0,2.851883192153366,25.0,180.0,17.5,39.253,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,12.5,57.0,4.125,42.0,360.0,15.5,80.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,77.5,180.0,2.165,47.0,180.0,99.5,77.5,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,23.5,166.0,2.75,25.0,360.0,40.5,58.75,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,17.5,44.0,5.25,55.0,360.0,17.5,100.0,1,0,0,1,1,0,0,5.358333333333334,0.25,7.64
2021,10.5,135.0,1.99,49.0,60.0,58.5,80.0,1,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,22.5,76.0,3.1256261762189905,45.0,360.0,22.5,96.5,0,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,42.5,283.0,3.375,25.0,360.0,44.5,95.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,18.5,95.0,2.99,39.0,360.0,16.5,100.0,1,0,0,1,1,0,0,5.358333333333334,0.25,7.64
2021,14.5,134.0,2.875,20.0,360.0,18.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,20.5,71.0,3.5,40.0,360.0,30.5,65.574,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,9.5,180.0,4.001042690815007,25.0,264.0,57.5,88.083,0,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,2.5,1.0,3.955092409240924,60.0,360.0,26.5,90.89,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,53.5,236.0,3.0,25.0,360.0,67.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,9.5,18.0,3.0703554564533055,41.0,348.0,13.5,69.23,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,34.5,123.0,3.625,42.0,360.0,38.5,90.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,9.5,202.0,2.625,33.0,120.0,40.5,22.5,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,31.5,72.0,2.49,33.0,360.0,49.5,64.5,1,0,0,1,0,0,0,5.358333333333334,0.25,7.64
2021,7.5,99.0,4.001042690815007,60.0,300.0,91.5,87.981,0,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,7.5,85.0,3.75,20.0,360.0,20.5,36.6,1,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,24.5,108.0,2.851883192153366,20.0,30.0,79.5,30.0,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,20.5,74.0,2.625,37.0,360.0,30.5,66.667,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,30.5,134.0,3.625,40.0,360.0,37.5,80.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,147.5,324.0,2.75,36.0,360.0,210.5,70.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,336.5,539.0,3.125,48.0,360.0,435.5,77.241,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,16.5,71.0,3.1430324107793153,33.0,360.0,20.5,80.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,23.5,107.0,2.851883192153366,33.0,240.0,34.5,68.116,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,46.5,147.0,3.125,44.0,360.0,47.5,97.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,39.5,126.0,3.0703554564533055,55.0,360.0,60.5,65.833,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,19.5,68.0,2.625,33.0,180.0,65.5,29.539,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,7.5,49.0,2.375,20.0,180.0,28.5,27.5,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,41.5,113.0,2.875,25.0,360.0,99.5,41.442,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,32.5,126.0,3.375,25.0,360.0,33.5,97.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,9.5,60.0,3.0703554564533055,47.0,360.0,11.5,80.0,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,11.5,95.0,2.75,25.0,360.0,15.5,74.194,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,12.5,116.0,2.875,20.0,180.0,20.5,58.683,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,21.5,70.0,2.75,47.0,360.0,26.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,26.5,102.0,3.1430324107793153,33.0,360.0,33.5,80.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,15.5,55.0,2.75,44.0,360.0,28.5,53.071,1,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,49.5,164.0,2.73408077994429,36.0,360.0,51.5,98.47,0,0,0,1,0,0,0,5.358333333333334,0.25,7.64
2021,95.5,221.0,3.25,44.0,360.0,106.5,90.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,16.5,106.0,2.25,25.0,180.0,27.5,57.762,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,5.5,43.0,3.0,43.0,120.0,9.5,79.963,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,42.5,154.0,2.875,25.0,360.0,53.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,21.5,70.0,3.125,44.0,360.0,22.5,98.189,1,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,21.5,124.0,3.625,25.0,360.0,30.5,69.935,1,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,6.5,38.0,3.5,25.0,180.0,8.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,14.5,29.0,2.75,43.0,360.0,14.5,100.0,1,0,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,50.5,75.0,4.001042690815007,49.0,360.0,150.5,33.33,0,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,11.5,109.0,2.851883192153366,49.0,360.0,14.5,79.0,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,20.5,69.0,3.625,33.0,360.0,30.5,67.638,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,35.5,122.0,3.75,43.0,360.0,63.5,55.59,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,25.5,81.0,2.5,38.0,360.0,26.5,96.5,1,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,19.5,105.0,4.125,42.0,360.0,24.5,80.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,28.5,80.0,2.851883192153366,46.0,360.0,40.5,69.383,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,34.5,119.0,3.0703554564533055,20.0,360.0,45.5,75.0,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,21.5,92.0,3.1256261762189905,55.0,360.0,16.5,128.667,0,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,45.5,187.0,3.0703554564533055,25.0,360.0,56.5,79.93,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,16.5,24.0,2.851883192153366,60.0,180.0,25.5,70.8,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,3.5,93.0,3.955092409240924,36.0,30.0,20.5,39.443,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,11.5,48.0,3.1430324107793153,60.0,360.0,12.5,97.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,82.5,201.0,2.875,43.0,360.0,187.5,43.84,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,21.5,453.0,2.125,20.0,120.0,50.5,43.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,7.5,106.0,2.5,25.0,180.0,10.5,66.667,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,23.5,112.0,3.625,33.0,360.0,32.5,72.43,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,19.5,67.0,2.75,39.0,360.0,24.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,160.5,532.0,3.1430324107793153,41.0,378.0,200.5,80.0,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,22.5,35.0,2.75,45.0,360.0,36.5,61.918,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,54.5,250.0,2.875,25.0,360.0,79.5,95.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,27.5,84.0,3.25,44.0,360.0,30.5,88.599,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,3.5,97.0,3.955092409240924,38.0,120.0,34.5,86.434,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,9.5,49.0,2.851883192153366,60.0,480.0,12.5,72.0,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,7.5,42.0,3.1256261762189905,60.0,360.0,8.5,96.5,0,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,11.5,72.0,2.951474178403756,33.0,360.0,25.5,58.8,0,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,25.5,52.0,2.951474178403756,47.0,360.0,37.5,66.489,0,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,8.5,36.0,2.851883192153366,25.0,360.0,12.5,68.333,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,19.5,461.0,3.125,20.0,360.0,27.5,71.429,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,12.5,56.0,3.0097289156626506,36.0,360.0,12.5,101.0,0,0,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,18.5,87.0,3.0703554564533055,25.0,336.0,29.5,64.29,0,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,12.5,82.0,2.75,33.0,180.0,44.5,28.453,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,7.5,47.0,3.125,42.0,120.0,55.5,18.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,11.5,29.0,2.851883192153366,55.0,360.0,16.5,69.51,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,23.5,111.0,2.375,42.0,120.0,40.5,57.483,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,52.5,182.0,2.875,48.0,360.0,67.5,77.778,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,84.5,244.0,2.875,39.0,360.0,105.5,80.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,18.5,78.0,3.125,46.0,360.0,42.5,42.353,1,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,21.5,55.0,3.5,36.0,360.0,22.5,97.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,14.5,54.0,2.5,55.0,180.0,30.5,47.5,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,20.5,88.0,2.25,44.0,180.0,35.5,57.143,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,41.5,236.0,2.375,25.0,180.0,55.5,75.273,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,12.5,21.0,2.875,46.0,360.0,22.5,56.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,21.5,42.0,2.875,36.0,360.0,22.5,97.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,8.5,23.0,4.0,44.0,360.0,20.5,40.5,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,16.5,42.0,2.851883192153366,55.0,360.0,27.5,59.444,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,40.5,73.0,2.375,37.0,360.0,42.5,93.928,1,0,0,1,0,0,0,5.358333333333334,0.25,7.64
2021,26.5,48.0,2.951474178403756,60.0,360.0,21.5,97.5,0,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,37.5,279.0,2.875,33.0,360.0,57.5,73.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,28.5,70.0,3.1256261762189905,55.0,360.0,27.5,96.5,0,0,1,0,1,0,0,5.358333333333334,0.25,7.64
2021,24.5,264.0,2.75,20.0,360.0,40.5,60.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,34.5,49.0,2.951474178403756,60.0,360.0,60.5,56.9,0,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,20.5,88.0,2.25,44.0,180.0,35.5,57.143,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,21.5,52.0,3.5,41.0,360.0,34.5,62.148,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,12.5,150.0,3.125,41.0,180.0,15.5,80.0,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,167.5,390.0,2.344,43.0,360.0,245.5,68.163,1,1,0,0,0,0,0,5.358333333333334,0.25,7.64
2021,17.5,146.0,2.24,36.0,360.0,104.5,63.36,1,1,0,0,0,1,0,5.358333333333334,0.25,7.64
2021,43.5,114.0,2.851883192153366,48.0,240.0,97.5,49.43,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,20.5,59.0,2.875,43.0,360.0,28.5,71.429,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,13.5,114.0,2.851883192153366,20.0,240.0,16.5,80.357,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,14.5,75.0,2.375,25.0,180.0,35.5,40.2,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,21.5,104.0,2.851883192153366,36.0,360.0,33.5,65.833,0,1,0,0,0,0,1,5.358333333333334,0.25,7.64
2021,10.5,38.0,3.1430324107793153,33.0,360.0,16.5,64.5,0,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,41.5,106.0,2.875,39.0,360.0,44.5,95.0,1,1,0,0,1,0,0,5.358333333333334,0.25,7.64
2021,42.5,99.0,3.25,37.0,360.0,41.5,100.0,1,0,0,1,1,0,0,5.358333333333334,0.25,7.64
2021,28.5,60.0,2.951474178403756,55.0,360.0,27.5,80.0,0,0,1,0,0,0,0,5.358333333333334,0.25,7.64
2021,16.5,83.0,2.75,44.0,240.0,37.5,46.0,1,1,0,0,0,0,1,5.358333333333334,0.25,7.64
